Order Date,Region,Segment,Ship Mode,Category,Sub-Category,Sales,Quantity,Discount,Profit
2020-01-01 00:00:00.000000,East,Home Office,First Class,Office Supplies,Pens,4528.510679052442,10,0.2,24.9
2020-01-02 11:04:30.270270,South,Corporate,Second Class,Technology,Accessories,350.92,7,0.4,-6.22
2020-01-03 22:09:00.540540,West,Corporate,First Class,Office Supplies,Pens,523.6,12,0.3,36.74
2020-01-05 09:13:30.810810,South,Corporate,Standard Class,Office Supplies,Pens,152.14,10,0.1,33.94
2020-01-06 20:18:01.081081,West,Consumer,Standard Class,Technology,Phones,21.16,5,0.4,1.45
2020-01-08 07:22:31.351351,South,Corporate,Second Class,Technology,Accessories,,8,0.1,4.55
2020-01-09 18:27:01.621621,West,Consumer,Second Class,Office Supplies,Binders,15.27,9,0.3,0.48
2020-01-11 05:31:31.891891,Central,Consumer,Second Class,Furniture,Tables,274.8,11,0.2,50.02
2020-01-12 16:36:02.162162,South,Corporate,Same Day,Office Supplies,Pens,110.98,14,0.1,31.83
2020-01-14 03:40:32.432432,West,Corporate,Same Day,Office Supplies,Pens,205.48,7,0.0,65.11
2020-01-15 14:45:02.702702,West,Home Office,Standard Class,Office Supplies,Binders,179.95,14,0.0,29.05
2020-01-17 01:49:32.972972,Central,Corporate,Same Day,Office Supplies,Binders,31.26,13,0.4,-4.11
2020-01-18 12:54:03.243243,Central,Home Office,Same Day,Technology,Phones,139.07,7,0.3,2.34
2020-01-19 23:58:33.513513,Central,Corporate,First Class,Office Supplies,Binders,72.3,1,0.4,2.35
2020-01-21 11:03:03.783783,South,Corporate,Same Day,Furniture,Tables,145.49,4,0.4,
2020-01-22 22:07:34.054054,South,Corporate,First Class,Technology,Accessories,66.91,2,0.5,-7.03
2020-01-24 09:12:04.324324,Central,Corporate,Second Class,Furniture,Tables,468.85,2,0.4,28.82
2020-01-25 20:16:34.594594,East,Home Office,First Class,Furniture,Chairs,57.85,2,0.5,-8.19
2020-01-27 07:21:04.864864,East,Home Office,First Class,Furniture,Tables,819.65,4,0.0,252.4
2020-01-28 18:25:35.135135,West,Corporate,Second Class,Furniture,Bookcases,144.42,14,0.0,24.85
2020-01-30 05:30:05.405405,East,Corporate,Second Class,Technology,Accessories,478.1,1,0.4,-43.76
2020-01-31 16:34:35.675675,West,Home Office,Standard Class,Technology,Computers,257.73,4,0.0,47.99
2020-02-02 03:39:05.945945,South,Consumer,Standard Class,Furniture,Bookcases,342.34,2,0.3,33.8
2020-02-03 14:43:36.216216,South,Consumer,Standard Class,Furniture,Chairs,374.96,5,0.5,-79.57
2020-02-05 01:48:06.486486,East,Consumer,Standard Class,Technology,Phones,185.72,3,0.5,-35.49
2020-02-06 12:52:36.756756,South,Home Office,First Class,Technology,Computers,205.93,12,0.4,19.65
2020-02-07 23:57:07.027027,Central,Home Office,First Class,Technology,Computers,190.38,8,0.0,19.54
2020-02-09 11:01:37.297297,Central,Consumer,Standard Class,Office Supplies,Binders,231.72,4,0.1,37.15
2020-02-10 22:06:07.567567,East,Consumer,Same Day,Office Supplies,Pens,17.46,1,0.5,-1.33
2020-02-12 09:10:37.837837,East,Corporate,Standard Class,Office Supplies,Paper,135.84,1,0.4,-5.86
2020-02-13 20:15:08.108108,West,Home Office,Same Day,Furniture,Chairs,242.97,12,0.4,0.83
2020-02-15 07:19:38.378378,South,Home Office,Second Class,Office Supplies,Pens,237.65,10,0.3,-14.51
2020-02-16 18:24:08.648648,West,Consumer,First Class,Furniture,Chairs,403.71,3,0.2,38.67
2020-02-18 05:28:38.918918,West,Consumer,First Class,Furniture,Tables,276.06,9,0.2,
2020-02-19 16:33:09.189189,Central,Home Office,Same Day,Office Supplies,Binders,1221.28,7,0.5,-62.9
2020-02-21 03:37:39.459459,Central,Corporate,Standard Class,Furniture,Tables,93.47,2,0.3,-8.19
2020-02-22 14:42:09.729729,Central,Consumer,First Class,Office Supplies,Paper,121.24,13,0.3,5.0
2020-02-24 01:46:40.000000,Central,Home Office,Same Day,Office Supplies,Binders,131.07,9,0.3,-9.75
2020-02-25 12:51:10.270270,West,Home Office,Second Class,Technology,Accessories,166.75,10,0.5,-27.75
2020-02-26 23:55:40.540540,Central,Corporate,Second Class,Office Supplies,Pens,461.97,2,0.2,-2.03
2020-02-28 11:00:10.810810,South,Corporate,First Class,Technology,Phones,77.23,3,0.3,-5.8
2020-02-29 22:04:41.081081,Central,Consumer,Standard Class,Office Supplies,Pens,384.03,11,0.0,114.33
2020-03-02 09:09:11.351351,Central,Consumer,Same Day,Office Supplies,Pens,4004.3859007011415,13,0.4,-14.59
2020-03-03 20:13:41.621621,Central,Consumer,First Class,Technology,Phones,240.23,10,0.4,21.17
2020-03-05 07:18:11.891891,East,Home Office,Second Class,Technology,Computers,260.29,14,0.1,73.14
